id,geographic-area-name,median-income
0500000US37159,"Rowan County, North Carolina",51927
0500000US37161,"Rutherford County, North Carolina",44361
0500000US37171,"Surry County, North Carolina",49250
0500000US37179,"Union County, North Carolina",85985
0500000US37183,"Wake County, North Carolina",84215
0500000US37191,"Wayne County, North Carolina",44596
0500000US37193,"Wilkes County, North Carolina",43290
0500000US37195,"Wilson County, North Carolina",38830
0500000US38015,"Burleigh County, North Dakota",72494
0500000US38017,"Cass County, North Dakota",62218
0500000US38035,"Grand Forks County, North Dakota",56622
0500000US38101,"Ward County, North Dakota",71415
0500000US39003,"Allen County, Ohio",60429
0500000US39007,"Ashtabula County, Ohio",44580
0500000US39009,"Athens County, Ohio",41851
0500000US39013,"Belmont County, Ohio",49780
0500000US39017,"Butler County, Ohio",68584
0500000US39023,"Clark County, Ohio",50128
0500000US39025,"Clermont County, Ohio",67744
0500000US39029,"Columbiana County, Ohio",53542
0500000US39035,"Cuyahoga County, Ohio",52423
0500000US39041,"Delaware County, Ohio",107854
0500000US39043,"Erie County, Ohio",60653
0500000US39045,"Fairfield County, Ohio",71469
0500000US39049,"Franklin County, Ohio",64713
0500000US39055,"Geauga County, Ohio",77391
0500000US39057,"Greene County, Ohio",67394
0500000US39061,"Hamilton County, Ohio",60198
0500000US39063,"Hancock County, Ohio",60944
0500000US39081,"Jefferson County, Ohio",47445
0500000US39085,"Lake County, Ohio",64076
0500000US39089,"Licking County, Ohio",66013
0500000US39093,"Lorain County, Ohio",58686
0500000US39095,"Lucas County, Ohio",49448
0500000US39099,"Mahoning County, Ohio",47170
0500000US39101,"Marion County, Ohio",50608
0500000US39103,"Medina County, Ohio",76468
0500000US39109,"Miami County, Ohio",62451
0500000US39113,"Montgomery County, Ohio",54537
0500000US39119,"Muskingum County, Ohio",51844
0500000US39133,"Portage County, Ohio",56679
0500000US39139,"Richland County, Ohio",51783
0500000US39141,"Ross County, Ohio",55717
0500000US39145,"Scioto County, Ohio",45571
0500000US39151,"Stark County, Ohio",55499
0500000US39153,"Summit County, Ohio",57364
0500000US39155,"Trumbull County, Ohio",47087
0500000US39157,"Tuscarawas County, Ohio",53616
0500000US39165,"Warren County, Ohio",90837
0500000US39169,"Wayne County, Ohio",57458
0500000US39173,"Wood County, Ohio",63791
0500000US40017,"Canadian County, Oklahoma",73635
0500000US40027,"Cleveland County, Oklahoma",64290
0500000US40031,"Comanche County, Oklahoma",51300
0500000US40037,"Creek County, Oklahoma",54969
0500000US40101,"Muskogee County, Oklahoma",42450
0500000US40109,"Oklahoma County, Oklahoma",56235
